BG_GEOID,Population
1500000US410510001001,625
1500000US410510001002,1116
1500000US410510001003,710
1500000US410510001004,1225
1500000US410510001005,648
1500000US410510001006,775
1500000US410510001007,938
1500000US410510002001,1340
1500000US410510002002,2124
1500000US410510002003,1856
1500000US410510002004,1098
1500000US410510003011,1292
1500000US410510003012,1555
1500000US410510003013,1653
1500000US410510003014,1166
1500000US410510003021,1351
1500000US410510003022,1423
1500000US410510003023,627
1500000US410510003024,1512
1500000US410510003025,996
1500000US410510003026,1055
1500000US410510004011,1341
1500000US410510004012,645
1500000US410510004013,1051
1500000US410510004014,777
1500000US410510004021,1018
1500000US410510004022,765
1500000US410510004023,1372
1500000US410510005011,674
1500000US410510005012,1120
1500000US410510005013,887
1500000US410510005014,1154
1500000US410510005021,990
1500000US410510005022,628
1500000US410510005023,1114
1500000US410510005024,1249
1500000US410510005025,844
1500000US410510006011,2214
1500000US410510006012,1042
1500000US410510006013,664
1500000US410510006014,1744
1500000US410510006021,1152
1500000US410510006022,2230
1500000US410510006023,1278
1500000US410510006024,1282
1500000US410510007011,1315
1500000US410510007012,1154
1500000US410510007013,1567
1500000US410510007014,789
1500000US410510007021,996
1500000US410510007022,989
1500000US410510007023,1245
1500000US410510007024,1337
1500000US410510008011,1036
1500000US410510008012,1228
1500000US410510008013,1062
1500000US410510008014,1155
1500000US410510008021,1043
1500000US410510008022,759
1500000US410510008023,1244
1500000US410510008024,1561
1500000US410510009011,1259
1500000US410510009012,1067
1500000US410510009013,903
1500000US410510009014,904
1500000US410510009021,1856
1500000US410510009022,1091
1500000US410510009023,1526
1500000US410510010001,975
1500000US410510010002,1078
1500000US410510010003,1287
1500000US410510010004,770
1500000US410510010005,1505
1500000US410510011011,626
1500000US410510011012,1436
1500000US410510011021,1606
1500000US410510012011,1016
1500000US410510012012,909
1500000US410510012013,1083
1500000US410510012014,2104
1500000US410510012021,1183
1500000US410510012022,1250
1500000US410510012023,1033
1500000US410510013011,1207
1500000US410510013012,579
1500000US410510013013,966
1500000US410510013014,1258
1500000US410510013021,702
1500000US410510013022,933
1500000US410510013023,1466
1500000US410510014001,1131
1500000US410510014002,1024
1500000US410510014003,1456
1500000US410510014004,660
1500000US410510014005,786
1500000US410510015001,1496
1500000US410510015002,1136
1500000US410510015003,696
1500000US410510016011,866
1500000US410510016012,637
1500000US410510016013,1307
1500000US410510016014,1206
1500000US410510016015,812
1500000US410510016016,1033
1500000US410510016021,774
1500000US410510016022,959
1500000US410510016023,1553
1500000US410510016024,1377
1500000US410510017011,550
1500000US410510017012,1323
1500000US410510017013,769
1500000US410510017014,700
1500000US410510017015,1008
1500000US410510017016,948
1500000US410510017017,1318
1500000US410510017021,2353
1500000US410510017022,987
1500000US410510017023,1155
1500000US410510018011,1192
1500000US410510018012,1534
1500000US410510018013,1701
1500000US410510018021,2219
1500000US410510018022,1385
1500000US410510019001,1199
1500000US410510019002,1040
1500000US410510019003,1180
1500000US410510019004,1313
1500000US410510020001,722
1500000US410510020002,813
1500000US410510020003,1170
1500000US410510020004,1521
1500000US410510020005,1698
1500000US410510021001,988
1500000US410510021002,1169
1500000US410510022031,693
1500000US410510022032,544
1500000US410510022033,983
1500000US410510022034,1218
1500000US410510023031,748
1500000US410510023032,1351
1500000US410510024011,1127
1500000US410510024012,603
1500000US410510024013,1124
1500000US410510024021,1008
1500000US410510024022,1204
1500000US410510024023,1379
1500000US410510025011,742
1500000US410510025012,812
1500000US410510025013,1100
1500000US410510025014,611
1500000US410510025015,735
1500000US410510025016,635
1500000US410510025021,912
1500000US410510025022,887
1500000US410510025023,1314
1500000US410510025024,1104
1500000US410510026001,1101
1500000US410510026002,1148
1500000US410510026003,764
1500000US410510027011,987
1500000US410510027012,1530
1500000US410510027013,840
1500000US410510027021,1254
1500000US410510027022,1680
1500000US410510028011,1804
1500000US410510028012,1230
1500000US410510028021,942
1500000US410510028022,921
1500000US410510028023,1146
1500000US410510029011,924
1500000US410510029012,770
1500000US410510029013,1008
1500000US410510029014,1748
1500000US410510029021,851
1500000US410510029022,635
1500000US410510029023,1091
1500000US410510029024,1356
1500000US410510029025,1337
1500000US410510029031,1579
1500000US410510029032,905
1500000US410510029033,1394
1500000US410510029034,1475
1500000US410510030001,1096
1500000US410510030002,1500
1500000US410510030003,1101
1500000US410510030004,906
1500000US410510031001,1345
1500000US410510031002,1543
1500000US410510031003,1025
1500000US410510031004,969
1500000US410510032001,777
1500000US410510032002,1230
1500000US410510032003,746
1500000US410510032004,1168
1500000US410510033011,952
1500000US410510033012,1302
1500000US410510033013,1010
1500000US410510033021,1296
1500000US410510033022,1672
1500000US410510034011,854
1500000US410510034012,811
1500000US410510034013,490
1500000US410510034014,1212
1500000US410510034021,1373
1500000US410510034022,859
1500000US410510034023,1629
1500000US410510035011,686
1500000US410510035012,1228
1500000US410510035013,781
1500000US410510035014,847
1500000US410510035021,859
1500000US410510035022,1325
1500000US410510036011,801
1500000US410510036012,1609
1500000US410510036013,1215
1500000US410510036014,1080
1500000US410510036021,1772
1500000US410510036022,1182
1500000US410510036023,1953
1500000US410510036024,1613
1500000US410510036031,532
1500000US410510036032,1008
1500000US410510037011,1091
1500000US410510037012,1046
1500000US410510037013,1013
1500000US410510037014,916
1500000US410510037021,775
1500000US410510037022,623
1500000US410510037023,1330
1500000US410510038011,968
1500000US410510038012,840
1500000US410510038013,1127
1500000US410510038021,1506
1500000US410510038022,842
1500000US410510038023,1091
1500000US410510038031,1453
1500000US410510038032,1048
1500000US410510038033,1689
1500000US410510039011,1452
1500000US410510039012,879
1500000US410510039013,1373
1500000US410510039014,1404
1500000US410510039015,2526
1500000US410510039021,733
1500000US410510039022,839
1500000US410510039023,827
1500000US410510039024,842
1500000US410510040011,3752
1500000US410510040012,1000
1500000US410510040013,1566
1500000US410510040014,2168
1500000US410510040021,2583
1500000US410510040022,979
1500000US410510040023,1375
1500000US410510040024,1314
1500000US410510041011,1068
1500000US410510041012,1498
1500000US410510041013,2891
1500000US410510041014,1162
1500000US410510041021,2006
1500000US410510041022,1044
1500000US410510041023,1094
1500000US410510041024,1300
1500000US410510042001,1652
1500000US410510042002,1701
1500000US410510043001,1058
1500000US410510045001,2188
1500000US410510046011,1814
1500000US410510046012,1321
1500000US410510046021,1042
1500000US410510046022,964
